#{"t_start": 1691653022.79223, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
335.0,3229,1627.862733
265.0,2463,1631.664238
325.0,2039,1634.556276
310.0,2539,1637.893234
160.0,2515,1641.60787
180.0,1975,1644.627214
60.0,1379,1646.278903
320.0,3205,1650.598985
55.0,1377,1652.613735
230.0,2351,1655.906276
280.0,3191,1660.430997
245.0,2055,1663.196816
80.0,2155,1665.943375
460.0,4217,1672.185821
130.0,1547,1674.192793
115.0,1885,1676.860803
200.0,2043,1679.481549
310.0,2911,1683.502858
165.0,1991,1686.158045
380.0,3117,1690.407025
405.0,4137,1696.358485
410.0,2079,1699.022974
280.0,2781,1702.77185
190.0,2229,1705.670011
515.0,2457,1709.00948
85.0,2107,1712.250512
470.0,3555,1716.963114
315.0,2587,1729.355189
130.0,2065,1732.327491
315.0,4017,1738.115924
170.0,1959,1741.00938
115.0,1557,1742.999779
145.0,2291,1746.104928
215.0,2773,1750.077078
265.0,2695,1753.927528
390.0,4311,1759.395887
475.0,2759,1763.296866
300.0,2481,1766.469171
555.0,3609,1771.218909
50.0,1909,1773.523785
140.0,1399,1775.173943
535.0,3511,1779.836785
330.0,3599,1784.838145
255.0,2917,1788.844698
230.0,2479,1792.005815
495.0,3745,1797.132903
180.0,2425,1800.313577
455.0,2875,1804.020537
515.0,3249,1808.435767
245.0,2531,1811.664828
235.0,2469,1814.862608
415.0,2483,1818.263986
600.0,3411,1822.936126
300.0,2585,1826.446025
145.0,2573,1829.896074
400.0,3179,1834.295408
75.0,2073,1837.24683
260.0,3171,1841.867979
325.0,3549,1846.698179
225.0,2561,1850.739941
185.0,1943,1853.481674
210.0,2051,1856.377099
360.0,3399,1861.204979
180.0,2423,1864.949955
460.0,4015,1881.384682
395.0,3265,1885.058398
285.0,2117,1887.495365
340.0,2585,1890.466209
155.0,1449,1892.177205
85.0,2083,1894.697608
650.0,3883,1899.156215
305.0,2819,1902.384749
530.0,4119,1907.840175
295.0,3423,1912.136749
85.0,1493,1914.288786
525.0,3491,1918.812621
265.0,3229,1923.000518
270.0,2717,1926.872145
615.0,3105,1931.183406
510.0,4203,1936.478521
245.0,3161,1940.921788
325.0,3645,1946.123881
205.0,2355,1949.285742
290.0,2565,1953.089784
240.0,2165,1956.055963
450.0,3799,1961.244617
235.0,2861,1964.948492
60.0,1569,1967.126801
155.0,1851,1969.571844
130.0,1569,1972.00461
95.0,1449,1973.841642
290.0,2867,1977.837921
380.0,3497,1982.873258
250.0,2651,1986.382499
375.0,3549,1991.484169
250.0,2365,1994.878075
265.0,2003,1997.430544
475.0,3305,2002.105348
245.0,2241,2005.014328
175.0,1883,2007.350208
355.0,3319,2011.807855
320.0,3295,2021.277778
300.0,3397,2025.789625
155.0,1883,2028.234067
70.0,1655,2030.34955
105.0,1131,2031.916199
220.0,1985,2034.487659
280.0,2169,2037.748032
35.0,1091,2039.001021
135.0,1571,2041.118353
320.0,2855,2044.943779
715.0,3593,2049.536432
